"tid";"price";"timestep"
3193;45.54;2011-03-21 01:00:00
3194;56.48;2011-04-28 18:00:00
3196;47.44;2011-03-04 03:00:00
3198;62.01;2011-08-23 14:00:00
3203;60.35;2011-05-20 23:00:00
3205;53.05;2011-01-25 22:00:00
3206;76.06;2011-11-17 19:00:00
3208;54.25;2011-07-21 19:00:00
3210;45.93;2011-08-08 13:00:00
3211;34.92;2011-05-22 06:00:00
3212;63.58;2011-02-24 17:00:00
3214;32.44;2011-07-03 14:00:00
3219;51;2011-06-12 17:00:00
3221;53.07;2011-09-14 15:00:00
3222;68.89;2011-06-08 15:00:00
3223;40.36;2011-02-14 01:00:00
3224;23.64;2011-12-14 03:00:00
3226;61.95;2011-09-28 14:00:00
3227;42.78;2011-08-01 23:00:00
3228;52.04;2011-10-01 17:00:00
3230;51.19;2011-12-20 14:00:00
3232;57.93;2011-01-30 11:00:00
3233;43.05;2011-10-13 01:00:00
3234;47.54;2011-04-21 00:00:00
3235;46.44;2011-11-11 23:00:00
3236;56.19;2011-04-22 09:00:00
3237;63.81;2011-05-05 14:00:00
3240;89.27;2011-11-23 17:00:00
3242;38.39;2011-10-09 06:00:00
3243;63.08;2011-01-11 07:00:00
3245;59.37;2011-04-06 06:00:00
3247;34.19;2011-12-08 04:00:00
3250;57.92;2011-02-07 18:00:00
3252;51.65;2011-09-04 19:00:00
3254;9.98;2011-06-19 08:00:00
3256;53.2;2011-12-13 20:00:00
3257;57.15;2011-02-08 16:00:00
3258;48.59;2011-10-18 14:00:00
3260;46.62;2011-01-09 13:00:00
3262;70.23;2011-09-29 20:00:00
3265;46.07;2011-02-12 16:00:00
3269;49.59;2011-12-21 21:00:00
3270;54.01;2011-04-25 22:00:00
3274;60.02;2011-09-30 06:00:00
3276;59.98;2011-09-17 11:00:00
3279;61.27;2011-04-18 15:00:00
3280;58.05;2011-10-17 15:00:00
3282;59.42;2011-01-12 16:00:00
3283;69.62;2011-10-19 20:00:00
3284;69.09;2011-05-17 21:00:00
3285;62.07;2011-03-03 17:00:00
3286;51.07;2011-06-30 21:00:00
3289;63.86;2011-12-05 17:00:00
3290;63.27;2011-02-15 13:00:00
3293;65;2011-01-19 13:00:00
3295;55.43;2011-04-06 14:00:00
3296;42.5;2011-03-27 01:00:00
3301;43.44;2011-01-09 14:00:00
